label	quallab	value	StdDev	nObs	instrument	methoddesc	formationname
clastic_conglomerate lithology in British Columbia	average density of unaltered clastic_conglomerate	2.63	0.12	84	WEIGHT-IN-AIR/WEIGHT-IN-WATER	"average value and standard deviation from 84 observations in the British Columbia Geological Survey Rock Properties Database. All gsoq:Density measurements are by WEIGHT-IN-AIR/WEIGHT-IN-WATER. Aggregation, averaging and standard deviation calculation done on sample value field using Microsoft Access database. Min Density for this sample set is 2.24 g/cm3, max density is 2.97 g/cm3"	
clastic_conglomerate lithology in Endako Formation	average  Magnetic_Susceptibility for clastic_conglomerate in the Endako Formation	0.00252	0.00365	8	KT-9 KAPPAMETER MS METER	"average value and standard deviation from 8 observations in the British Columbia Geological Survey Rock Properties Database. All  gsoq:Magnetic_Susceptibility measurements are by KT-9 KAPPAMETER MS METER. Aggregation, averaging and standard deviation calculation done on sample value field using Microsoft Access database. Min susceptibilty for this sample set is -0.00007 SI magnetic susceptibility, max susceptibility is 0.00922 SI magnetic susceptibility. In this version, rock types are instances of the gslth: classes, so that the petrophysical properties are properties of instances of classes."	Endako Formation
clastic_conglomerate lithology in Hazelton Group	average  Magnetic_Susceptibility for clastic_conglomerate in the Hazelton Group	0.01582	0.02973	4	KT-9 KAPPAMETER MS METER	"average value and standard deviation from 4 observations in the British Columbia Geological Survey Rock Properties Database. All  gsoq:Magnetic_Susceptibility measurements are by KT-9 KAPPAMETER MS METER. Aggregation, averaging and standard deviation calculation done on sample value field using Microsoft Access database. Min susceptibilty for this sample set is 0.00018  SI magnetic susceptibility, max susceptibility is 0.06040  SI magnetic susceptibility"	
clastic_conglomerate lithology in Kasalka Group	average  Magnetic_Susceptibility for clastic_conglomerate in the Kasalka Group	0.01706	0.04461	32	KT-9 KAPPAMETER MS METER	"average value and standard deviation from 32 observations in the British Columbia Geological Survey Rock Properties Database. All  gsoq:Magnetic_Susceptibility measurements are by KT-9 KAPPAMETER MS METER. Aggregation, averaging and standard deviation calculation done on sample value field using Microsoft Access database. Min susceptibilty for this sample set is 0.00001  SI magnetic susceptibility, max susceptibility is 0.25000  SI magnetic susceptibility"	
clastic_conglomerate lithology in Naglico Formation	average  Magnetic_Susceptibility for clastic_conglomerate in the Naglico Formation	0.01425	0.01415	4	KT-9 KAPPAMETER MS METER	"average value and standard deviation from 4 observations in the British Columbia Geological Survey Rock Properties Database. All  gsoq:Magnetic_Susceptibility measurements are by KT-9 KAPPAMETER MS METER. Aggregation, averaging and standard deviation calculation done on sample value field using Microsoft Access database. Min susceptibilty for this sample set is 0.00110  SI magnetic susceptibility, max susceptibility is 0.03010  SI magnetic susceptibility"	Naglico Formation
clastic_conglomerate lithology in NazkoRiver	average  Magnetic_Susceptibility for clastic_conglomerate in the Nazko River	0.00006	0.00006	17	KT-9 KAPPAMETER MS METER	"average value and standard deviation from 17 observations in the British Columbia Geological Survey Rock Properties Database. All  gsoq:Magnetic_Susceptibility measurements are by KT-9 KAPPAMETER MS METER. Aggregation, averaging and standard deviation calculation done on sample value field using Microsoft Access database. Min susceptibilty for this sample set is 0.00002  SI magnetic susceptibility, max susceptibility is 0.00022  SI magnetic susceptibility"	Nazko River
clastic_conglomerate lithology in Nicola Group	average  Magnetic_Susceptibility for clastic_conglomerate in the Nicola Group	0.00032	0.00023	5	GF INSTRUMENTS SM-20	"average value and standard deviation from 5 observations in the British Columbia Geological Survey Rock Properties Database. All  gsoq:Magnetic_Susceptibility measurements are by GF INSTRUMENTS SM-20. Aggregation, averaging and standard deviation calculation done on sample value field using Microsoft Access database. Min susceptibilty for this sample set is 0.00001  SI magnetic susceptibility, max susceptibility is 0.00058  SI magnetic susceptibility"	
clastic_conglomerate lithology in Nicola Group	average  Magnetic_Susceptibility for clastic_conglomerate in the Nicola Group	0.02118	0.02798	5	SAPPHIRE SI2B MS METER	"average value and standard deviation from 5 observations in the British Columbia Geological Survey Rock Properties Database. All  gsoq:Magnetic_Susceptibility measurements are by SAPPHIRE SI2B MS METER. Aggregation, averaging and standard deviation calculation done on sample value field using Microsoft Access database. Min susceptibilty for this sample set is 0.00058  SI magnetic susceptibility, max susceptibility is 0.05530  SI magnetic susceptibility"	
clastic_conglomerate lithology in Nicola Group	average  Density for clastic_conglomerate in the Nicola Group	2.8	0.08	9	WEIGHT-IN-AIR/WEIGHT-IN-WATER	"average value and standard deviation from 9 observations in the British Columbia Geological Survey Rock Properties Database. All  gsoq:Density measurements are by WEIGHT-IN-AIR/WEIGHT-IN-WATER. Aggregation, averaging and standard deviation calculation done on sample value field using Microsoft Access database. Min susceptibilty for this sample set is 2.63  g/cm3, max susceptibility is 2.94  g/cm3"	
clastic_conglomerate lithology in Ootsa Lake Group	average  Magnetic_Susceptibility for clastic_conglomerate in the Ootsa Lake Group	0.01733	0.0151	16	KT-9 KAPPAMETER MS METER	"average value and standard deviation from 16 observations in the British Columbia Geological Survey Rock Properties Database. All  gsoq:Magnetic_Susceptibility measurements are by KT-9 KAPPAMETER MS METER. Aggregation, averaging and standard deviation calculation done on sample value field using Microsoft Access database. Min susceptibilty for this sample set is 0.00010  SI magnetic susceptibility, max susceptibility is 0.04390  SI magnetic susceptibility"	
clastic_conglomerate lithology in Silverquick/Powell Creek	average  Magnetic_Susceptibility for clastic_conglomerate in the Silverquick/Powell Creek	0.01282	0.01585	5	SAPPHIRE SI2B MS METER	"average value and standard deviation from 5 observations in the British Columbia Geological Survey Rock Properties Database. All  gsoq:Magnetic_Susceptibility measurements are by SAPPHIRE SI2B MS METER. Aggregation, averaging and standard deviation calculation done on sample value field using Microsoft Access database. Min susceptibilty for this sample set is 0.00024  SI magnetic susceptibility, max susceptibility is 0.03800  SI magnetic susceptibility"	Silverquick/Powell Creek
clastic_conglomerate lithology in Tezzeron Seq	average  Magnetic_Susceptibility for clastic_conglomerate in the Tezzeron Seq	0.00016	0.00005	5	KT-9 KAPPAMETER MS METER	"average value and standard deviation from 5 observations in the British Columbia Geological Survey Rock Properties Database. All  gsoq:Magnetic_Susceptibility measurements are by KT-9 KAPPAMETER MS METER. Aggregation, averaging and standard deviation calculation done on sample value field using Microsoft Access database. Min susceptibilty for this sample set is 0.00011  SI magnetic susceptibility, max susceptibility is 0.00022  SI magnetic susceptibility"	Tezzeron Seq
clastic_mudstone lithology in British Columbia	average magnetic susceptibility clastic_mudstone	0.00104	0.00148	13	SAPPHIRE SI2B MS METER	"average value and standard deviation from 13 observations in the British Columbia Geological Survey Rock Properties Database. All  gsoq:Magnetic_Susceptibility measurements are by SAPPHIRE SI2B MS METER. Aggregation, averaging and standard deviation calculation done on sample value field using Microsoft Access database. Min susceptibilty for this sample set is 0.00017 SI magnetic susceptibility, max susceptibility is 0.00505 SI magnetic susceptibility"	
clastic_mudstone lithology in British Columbia	average density of unaltered clastic_mudstone	2.69	0.04	7	WEIGHT-IN-AIR/WEIGHT-IN-WATER	"average value and standard deviation from 7 observations in the British Columbia Geological Survey Rock Properties Database. All gsoq:Density measurements are by WEIGHT-IN-AIR/WEIGHT-IN-WATER. Aggregation, averaging and standard deviation calculation done on sample value field using Microsoft Access database. Min Density for this sample set is 2.62 g/cm3, max density is 2.73 g/cm3"	
clastic_mudstone lithology in British Columbia	average magnetic susceptibility clastic_mudstone	0.00079	0.00132	8	GF INSTRUMENTS SM-20	"average value and standard deviation from 8 observations in the British Columbia Geological Survey Rock Properties Database. All  gsoq:Magnetic_Susceptibility measurements are by GF INSTRUMENTS SM-20. Aggregation, averaging and standard deviation calculation done on sample value field using Microsoft Access database. Min susceptibilty for this sample set is 0.00007 SI magnetic susceptibility, max susceptibility is 0.00390 SI magnetic susceptibility"	
clastic_mudstone lithology in Nanamimo Group	average  Magnetic_Susceptibility for clastic_mudstone in the Nanamimo Group	0.00097	0.00152	12	SAPPHIRE SI2B MS METER	"average value and standard deviation from 12 observations in the British Columbia Geological Survey Rock Properties Database. All  gsoq:Magnetic_Susceptibility measurements are by SAPPHIRE SI2B MS METER. Aggregation, averaging and standard deviation calculation done on sample value field using Microsoft Access database. Min susceptibilty for this sample set is 0.00017  SI magnetic susceptibility, max susceptibility is 0.00505  SI magnetic susceptibility"	
clastic_sandstone lithology in Bowser Lake Group	average  Magnetic_Susceptibility for clastic_sandstone in the Bowser Lake group	0.00028	0.00008	4	SAPPHIRE SI2B MS METER	"average value and standard deviation from 4 observations in the British Columbia Geological Survey Rock Properties Database. All  gsoq:Magnetic_Susceptibility measurements are by SAPPHIRE SI2B MS METER. Aggregation, averaging and standard deviation calculation done on sample value field using Microsoft Access database. Min susceptibilty for this sample set is 0.00019  SI magnetic susceptibility, max susceptibility is 0.00038  SI magnetic susceptibility"	
clastic_sandstone lithology in Bowser Lake Group	average  Magnetic_Susceptibility for clastic_sandstone in the Bowser Lake Group	0.00068	0.00112	5	KT-9 KAPPAMETER MS METER	"average value and standard deviation from 5 observations in the British Columbia Geological Survey Rock Properties Database. All  gsoq:Magnetic_Susceptibility measurements are by KT-9 KAPPAMETER MS METER. Aggregation, averaging and standard deviation calculation done on sample value field using Microsoft Access database. Min susceptibilty for this sample set is 0.00005  SI magnetic susceptibility, max susceptibility is 0.00269  SI magnetic susceptibility"	
clastic_sandstone lithology in British Columbia	average magnetic susceptibility clastic_sandstone	0.00403	0.01129	128	KT-9 KAPPAMETER MS METER	"average value and standard deviation from 128 observations in the British Columbia Geological Survey Rock Properties Database. All  gsoq:Magnetic_Susceptibility measurements are by KT-9 KAPPAMETER MS METER. Aggregation, averaging and standard deviation calculation done on sample value field using Microsoft Access database. Min susceptibilty for this sample set is 0.00003 SI magnetic susceptibility, max susceptibility is 0.07910 SI magnetic susceptibility"	
clastic_sandstone lithology in British Columbia	average magnetic susceptibility clastic_sandstone	0.0045	0.0123	132	SAPPHIRE SI2B MS METER	"average value and standard deviation from 132 observations in the British Columbia Geological Survey Rock Properties Database. All  gsoq:Magnetic_Susceptibility measurements are by SAPPHIRE SI2B MS METER. Aggregation, averaging and standard deviation calculation done on sample value field using Microsoft Access database. Min susceptibilty for this sample set is 0.00001 SI magnetic susceptibility, max susceptibility is 0.06230 SI magnetic susceptibility"	
clastic_sandstone lithology in British Columbia	average density of unaltered clastic_sandstone	2.64	0.12	343	WEIGHT-IN-AIR/WEIGHT-IN-WATER	"average value and standard deviation from 343 observations in the British Columbia Geological Survey Rock Properties Database. All gsoq:Density measurements are by WEIGHT-IN-AIR/WEIGHT-IN-WATER. Aggregation, averaging and standard deviation calculation done on sample value field using Microsoft Access database. Min Density for this sample set is 1.99 g/cm3, max density is 3.05 g/cm3"	
clastic_sandstone lithology in British Columbia	average magnetic susceptibility clastic_sandstone	0.00094	0.00779	349	GF INSTRUMENTS SM-20	"average value and standard deviation from 349 observations in the British Columbia Geological Survey Rock Properties Database. All  gsoq:Magnetic_Susceptibility measurements are by GF INSTRUMENTS SM-20. Aggregation, averaging and standard deviation calculation done on sample value field using Microsoft Access database. Min susceptibilty for this sample set is 0.00002 SI magnetic susceptibility, max susceptibility is 0.14200 SI magnetic susceptibility"	
clastic_sandstone lithology in Endako Formation	average  Magnetic_Susceptibility for clastic_sandstone in the Endako Formation	0.01331	0.00714	4	KT-9 KAPPAMETER MS METER	"average value and standard deviation from 4 observations in the British Columbia Geological Survey Rock Properties Database. All  gsoq:Magnetic_Susceptibility measurements are by KT-9 KAPPAMETER MS METER. Aggregation, averaging and standard deviation calculation done on sample value field using Microsoft Access database. Min susceptibilty for this sample set is 0.00684  SI magnetic susceptibility, max susceptibility is 0.02220  SI magnetic susceptibility"	Endako Formation
clastic_sandstone lithology in GoatWall	average  Magnetic_Susceptibility for clastic_sandstone in the Goat Wall	0.00026	0.00009	8	SAPPHIRE SI2B MS METER	"average value and standard deviation from 8 observations in the British Columbia Geological Survey Rock Properties Database. All  gsoq:Magnetic_Susceptibility measurements are by SAPPHIRE SI2B MS METER. Aggregation, averaging and standard deviation calculation done on sample value field using Microsoft Access database. Min susceptibilty for this sample set is 0.00016  SI magnetic susceptibility, max susceptibility is 0.00038  SI magnetic susceptibility"	Goat Wall
clastic_sandstone lithology in Grinnell Formation	average  Magnetic_Susceptibility for clastic_sandstone in the Grinnell Formation	0.00005	0.00005	6	SAPPHIRE SI2B MS METER	"average value and standard deviation from 6 observations in the British Columbia Geological Survey Rock Properties Database. All  gsoq:Magnetic_Susceptibility measurements are by SAPPHIRE SI2B MS METER. Aggregation, averaging and standard deviation calculation done on sample value field using Microsoft Access database. Min susceptibilty for this sample set is 0.00001  SI magnetic susceptibility, max susceptibility is 0.00013  SI magnetic susceptibility"	Grinnell Formation
clastic_sandstone lithology in Jackass Mountain Group	average  Magnetic_Susceptibility for clastic_sandstone in the Jackass Mountain Group	0.00313	0.00287	10	KT-9 KAPPAMETER MS METER	"average value and standard deviation from 10 observations in the British Columbia Geological Survey Rock Properties Database. All  gsoq:Magnetic_Susceptibility measurements are by KT-9 KAPPAMETER MS METER. Aggregation, averaging and standard deviation calculation done on sample value field using Microsoft Access database. Min susceptibilty for this sample set is 0.00017  SI magnetic susceptibility, max susceptibility is 0.00899  SI magnetic susceptibility"	
clastic_sandstone lithology in Naglico Formation	average  Magnetic_Susceptibility for clastic_sandstone in the Naglico Formation	0.01267	0.01267	6	KT-9 KAPPAMETER MS METER	"average value and standard deviation from 6 observations in the British Columbia Geological Survey Rock Properties Database. All  gsoq:Magnetic_Susceptibility measurements are by KT-9 KAPPAMETER MS METER. Aggregation, averaging and standard deviation calculation done on sample value field using Microsoft Access database. Min susceptibilty for this sample set is 0.00016  SI magnetic susceptibility, max susceptibility is 0.02580  SI magnetic susceptibility"	Naglico Formation
clastic_sandstone lithology in Nanamimo Group	average  Magnetic_Susceptibility for clastic_sandstone in the Nanamimo Group	0.00181	0.00205	17	SAPPHIRE SI2B MS METER	"average value and standard deviation from 17 observations in the British Columbia Geological Survey Rock Properties Database. All  gsoq:Magnetic_Susceptibility measurements are by SAPPHIRE SI2B MS METER. Aggregation, averaging and standard deviation calculation done on sample value field using Microsoft Access database. Min susceptibilty for this sample set is 0.00018  SI magnetic susceptibility, max susceptibility is 0.00593  SI magnetic susceptibility"	
clastic_sandstone lithology in NazkoRiver	average  Magnetic_Susceptibility for clastic_sandstone in the Nazko River	0.00018	0.00023	16	KT-9 KAPPAMETER MS METER	"average value and standard deviation from 16 observations in the British Columbia Geological Survey Rock Properties Database. All  gsoq:Magnetic_Susceptibility measurements are by KT-9 KAPPAMETER MS METER. Aggregation, averaging and standard deviation calculation done on sample value field using Microsoft Access database. Min susceptibilty for this sample set is 0.00003  SI magnetic susceptibility, max susceptibility is 0.00079  SI magnetic susceptibility"	Nazko River
clastic_sandstone lithology in Nicola Group	average  Magnetic_Susceptibility for clastic_sandstone in the Nicola Group	0.01254	0.01974	32	SAPPHIRE SI2B MS METER	"average value and standard deviation from 32 observations in the British Columbia Geological Survey Rock Properties Database. All  gsoq:Magnetic_Susceptibility measurements are by SAPPHIRE SI2B MS METER. Aggregation, averaging and standard deviation calculation done on sample value field using Microsoft Access database. Min susceptibilty for this sample set is 0.00016  SI magnetic susceptibility, max susceptibility is 0.05680  SI magnetic susceptibility"	
clastic_sandstone lithology in Nicola Group	average  Magnetic_Susceptibility for clastic_sandstone in the Nicola Group	0.00171	0.00472	36	GF INSTRUMENTS SM-20	"average value and standard deviation from 36 observations in the British Columbia Geological Survey Rock Properties Database. All  gsoq:Magnetic_Susceptibility measurements are by GF INSTRUMENTS SM-20. Aggregation, averaging and standard deviation calculation done on sample value field using Microsoft Access database. Min susceptibilty for this sample set is 0.00005  SI magnetic susceptibility, max susceptibility is 0.02480  SI magnetic susceptibility"	
clastic_sandstone lithology in Nicola Group	average  Density for clastic_sandstone in the Nicola Group	2.78	0.1	61	WEIGHT-IN-AIR/WEIGHT-IN-WATER	"average value and standard deviation from 61 observations in the British Columbia Geological Survey Rock Properties Database. All  gsoq:Density measurements are by WEIGHT-IN-AIR/WEIGHT-IN-WATER. Aggregation, averaging and standard deviation calculation done on sample value field using Microsoft Access database. Min susceptibilty for this sample set is 2.51  g/cm3, max susceptibility is 3.05  g/cm3"	
clastic_sandstone lithology in Ootsa Lake Group	average  Magnetic_Susceptibility for clastic_sandstone in the Ootsa Lake Group	0.01331	0.01428	4	KT-9 KAPPAMETER MS METER	"average value and standard deviation from 4 observations in the British Columbia Geological Survey Rock Properties Database. All  gsoq:Magnetic_Susceptibility measurements are by KT-9 KAPPAMETER MS METER. Aggregation, averaging and standard deviation calculation done on sample value field using Microsoft Access database. Min susceptibilty for this sample set is 0.00024  SI magnetic susceptibility, max susceptibility is 0.03150  SI magnetic susceptibility"	
clastic_sandstone lithology in Phillips Formation	average  Magnetic_Susceptibility for clastic_sandstone in the Phillips Formation	0.00006	0.00003	6	SAPPHIRE SI2B MS METER	"average value and standard deviation from 6 observations in the British Columbia Geological Survey Rock Properties Database. All  gsoq:Magnetic_Susceptibility measurements are by SAPPHIRE SI2B MS METER. Aggregation, averaging and standard deviation calculation done on sample value field using Microsoft Access database. Min susceptibilty for this sample set is 0.00003  SI magnetic susceptibility, max susceptibility is 0.00011  SI magnetic susceptibility"	Phillips Formation
clastic_sandstone lithology in RelayMt. Group	average  Magnetic_Susceptibility for clastic_sandstone in the Relay Mt. Group	0.00652	0.02026	15	KT-9 KAPPAMETER MS METER	"average value and standard deviation from 15 observations in the British Columbia Geological Survey Rock Properties Database. All  gsoq:Magnetic_Susceptibility measurements are by KT-9 KAPPAMETER MS METER. Aggregation, averaging and standard deviation calculation done on sample value field using Microsoft Access database. Min susceptibilty for this sample set is 0.00011  SI magnetic susceptibility, max susceptibility is 0.07910  SI magnetic susceptibility"	
clastic_sandstone lithology in Silverquick/Powell Creek	average  Magnetic_Susceptibility for clastic_sandstone in the Silverquick/Powell Creek	0.0021	0.00498	25	SAPPHIRE SI2B MS METER	"average value and standard deviation from 25 observations in the British Columbia Geological Survey Rock Properties Database. All  gsoq:Magnetic_Susceptibility measurements are by SAPPHIRE SI2B MS METER. Aggregation, averaging and standard deviation calculation done on sample value field using Microsoft Access database. Min susceptibilty for this sample set is 0.00023  SI magnetic susceptibility, max susceptibility is 0.01890  SI magnetic susceptibility"	Silverquick/Powell Creek
clastic_sandstone lithology in Skeena sediments	average  Magnetic_Susceptibility for clastic_sandstone in the Skeena sediments	0.00089	0.00136	15	KT-9 KAPPAMETER MS METER	"average value and standard deviation from 15 observations in the British Columbia Geological Survey Rock Properties Database. All  gsoq:Magnetic_Susceptibility measurements are by KT-9 KAPPAMETER MS METER. Aggregation, averaging and standard deviation calculation done on sample value field using Microsoft Access database. Min susceptibilty for this sample set is 0.00017  SI magnetic susceptibility, max susceptibility is 0.00536  SI magnetic susceptibility"	Skeena sediments
clastic_sandstone lithology in Smithers Formation of Hazelton Group	average  Magnetic_Susceptibility for clastic_sandstone in the Smithers Formation of the Hazelton Group	0.00311	0.00625	5	KT-9 KAPPAMETER MS METER	"average value and standard deviation from 5 observations in the British Columbia Geological Survey Rock Properties Database. All  gsoq:Magnetic_Susceptibility measurements are by KT-9 KAPPAMETER MS METER. Aggregation, averaging and standard deviation calculation done on sample value field using Microsoft Access database. Min susceptibilty for this sample set is 0.00021  SI magnetic susceptibility, max susceptibility is 0.01430  SI magnetic susceptibility"	Smithers Formation
clastic_sandstone lithology in Spences Bridge Group	average  Magnetic_Susceptibility for clastic_sandstone in the Spences Bridge Group	0.00028	0.00008	5	SAPPHIRE SI2B MS METER	"average value and standard deviation from 5 observations in the British Columbia Geological Survey Rock Properties Database. All  gsoq:Magnetic_Susceptibility measurements are by SAPPHIRE SI2B MS METER. Aggregation, averaging and standard deviation calculation done on sample value field using Microsoft Access database. Min susceptibilty for this sample set is 0.00018  SI magnetic susceptibility, max susceptibility is 0.00041  SI magnetic susceptibility"	
clastic_sandstone lithology in lJs	average  Density for clastic_sandstone in the lJs	2.8	0.08	6	WEIGHT-IN-AIR/WEIGHT-IN-WATER	"average value and standard deviation from 6 observations in the British Columbia Geological Survey Rock Properties Database. All  gsoq:Density measurements are by WEIGHT-IN-AIR/WEIGHT-IN-WATER. Aggregation, averaging and standard deviation calculation done on sample value field using Microsoft Access database. Min susceptibilty for this sample set is 2.74  g/cm3, max susceptibility is 2.95  g/cm3"	lJs
clastic_sandstone lithology in lJs	average  Magnetic_Susceptibility for clastic_sandstone in the lJs	0.00072	0.00044	6	GF INSTRUMENTS SM-20	"average value and standard deviation from 6 observations in the British Columbia Geological Survey Rock Properties Database. All  gsoq:Magnetic_Susceptibility measurements are by GF INSTRUMENTS SM-20. Aggregation, averaging and standard deviation calculation done on sample value field using Microsoft Access database. Min susceptibilty for this sample set is 0.00023  SI magnetic susceptibility, max susceptibility is 0.00133  SI magnetic susceptibility"	lJs
clastic_sedimentary_rock lithology in Bowser Lake Group	average  Magnetic_Susceptibility for clastic_sedimentary_rock in the Bowser Lake group	0.00022	0.00002	9	SAPPHIRE SI2B MS METER	"average value and standard deviation from 9 observations in the British Columbia Geological Survey Rock Properties Database. All  gsoq:Magnetic_Susceptibility measurements are by SAPPHIRE SI2B MS METER. Aggregation, averaging and standard deviation calculation done on sample value field using Microsoft Access database. Min susceptibilty for this sample set is 0.00019  SI magnetic susceptibility, max susceptibility is 0.00024  SI magnetic susceptibility"	
clastic_sedimentary_rock lithology in British Columbia	average magnetic susceptibility clastic_sedimentary_rock	0.00041	0.00048	24	SAPPHIRE SI2B MS METER	"average value and standard deviation from 24 observations in the British Columbia Geological Survey Rock Properties Database. All  gsoq:Magnetic_Susceptibility measurements are by SAPPHIRE SI2B MS METER. Aggregation, averaging and standard deviation calculation done on sample value field using Microsoft Access database. Min susceptibilty for this sample set is 0.00008 SI magnetic susceptibility, max susceptibility is 0.00208 SI magnetic susceptibility"	
clastic_sedimentary_rock lithology in British Columbia	average density of unaltered clastic_sedimentary_rock	2.69	0.14	3	WEIGHT-IN-AIR/WEIGHT-IN-WATER	"average value and standard deviation from 3 observations in the British Columbia Geological Survey Rock Properties Database. All gsoq:Density measurements are by WEIGHT-IN-AIR/WEIGHT-IN-WATER. Aggregation, averaging and standard deviation calculation done on sample value field using Microsoft Access database. Min Density for this sample set is 2.60 g/cm3, max density is 2.85 g/cm3"	
clastic_sedimentary_rock lithology in Stuhini Group	average  Magnetic_Susceptibility for clastic_sedimentary_rock in the Stuhini Group	0.00043	0.00007	4	SAPPHIRE SI2B MS METER	"average value and standard deviation from 4 observations in the British Columbia Geological Survey Rock Properties Database. All  gsoq:Magnetic_Susceptibility measurements are by SAPPHIRE SI2B MS METER. Aggregation, averaging and standard deviation calculation done on sample value field using Microsoft Access database. Min susceptibilty for this sample set is 0.00037  SI magnetic susceptibility, max susceptibility is 0.00053  SI magnetic susceptibility"	
coal lithology in British Columbia	average density of unaltered coal	2.39	0.62	3	WEIGHT-IN-AIR/WEIGHT-IN-WATER	"average value and standard deviation from 3 observations in the British Columbia Geological Survey Rock Properties Database. All gsoq:Density measurements are by WEIGHT-IN-AIR/WEIGHT-IN-WATER. Aggregation, averaging and standard deviation calculation done on sample value field using Microsoft Access database. Min Density for this sample set is 1.88 g/cm3, max density is 3.09 g/cm3"	
dacite lithology in British Columbia	average magnetic susceptibility dacite	0.00259	0.00628	11	GF INSTRUMENTS SM-20	"average value and standard deviation from 11 observations in the British Columbia Geological Survey Rock Properties Database. All  gsoq:Magnetic_Susceptibility measurements are by GF INSTRUMENTS SM-20. Aggregation, averaging and standard deviation calculation done on sample value field using Microsoft Access database. Min susceptibilty for this sample set is 0.00013 SI magnetic susceptibility, max susceptibility is 0.02110 SI magnetic susceptibility"	
dacite lithology in British Columbia	average density of unaltered dacite	2.63	0.13	11	WEIGHT-IN-AIR/WEIGHT-IN-WATER	"average value and standard deviation from 11 observations in the British Columbia Geological Survey Rock Properties Database. All gsoq:Density measurements are by WEIGHT-IN-AIR/WEIGHT-IN-WATER. Aggregation, averaging and standard deviation calculation done on sample value field using Microsoft Access database. Min Density for this sample set is 2.38 g/cm3, max density is 2.81 g/cm3"	
dacite lithology in British Columbia	average magnetic susceptibility dacite	0.01501	0.0172	16	SAPPHIRE SI2B MS METER	"average value and standard deviation from 16 observations in the British Columbia Geological Survey Rock Properties Database. All  gsoq:Magnetic_Susceptibility measurements are by SAPPHIRE SI2B MS METER. Aggregation, averaging and standard deviation calculation done on sample value field using Microsoft Access database. Min susceptibilty for this sample set is 0.00012 SI magnetic susceptibility, max susceptibility is 0.05490 SI magnetic susceptibility"	
dacite lithology in British Columbia	average magnetic susceptibility dacite	0.00878	0.01091	527	KT-9 KAPPAMETER MS METER	"average value and standard deviation from 527 observations in the British Columbia Geological Survey Rock Properties Database. All  gsoq:Magnetic_Susceptibility measurements are by KT-9 KAPPAMETER MS METER. Aggregation, averaging and standard deviation calculation done on sample value field using Microsoft Access database. Min susceptibilty for this sample set is -0.00090 SI magnetic susceptibility, max susceptibility is 0.05080 SI magnetic susceptibility"	
dacite lithology in Chilcotin Group	average  Magnetic_Susceptibility for dacite in the Chilcotin Group	0.00505	0.00451	6	KT-9 KAPPAMETER MS METER	"average value and standard deviation from 6 observations in the British Columbia Geological Survey Rock Properties Database. All  gsoq:Magnetic_Susceptibility measurements are by KT-9 KAPPAMETER MS METER. Aggregation, averaging and standard deviation calculation done on sample value field using Microsoft Access database. Min susceptibilty for this sample set is -0.00090  SI magnetic susceptibility, max susceptibility is 0.01160  SI magnetic susceptibility"	
dacite lithology in Co Pley Lake Phs	average  Magnetic_Susceptibility for dacite in the Copley Lake Phs	0.00948	0.01045	5	KT-9 KAPPAMETER MS METER	"average value and standard deviation from 5 observations in the British Columbia Geological Survey Rock Properties Database. All  gsoq:Magnetic_Susceptibility measurements are by KT-9 KAPPAMETER MS METER. Aggregation, averaging and standard deviation calculation done on sample value field using Microsoft Access database. Min susceptibilty for this sample set is 0.00006  SI magnetic susceptibility, max susceptibility is 0.02240  SI magnetic susceptibility"	Copley Lake Phs
dacite lithology in Endako Formation	average  Magnetic_Susceptibility for dacite in the Endako Formation	0.01083	0.01151	59	KT-9 KAPPAMETER MS METER	"average value and standard deviation from 59 observations in the British Columbia Geological Survey Rock Properties Database. All  gsoq:Magnetic_Susceptibility measurements are by KT-9 KAPPAMETER MS METER. Aggregation, averaging and standard deviation calculation done on sample value field using Microsoft Access database. Min susceptibilty for this sample set is 0.00006  SI magnetic susceptibility, max susceptibility is 0.03710  SI magnetic susceptibility"	Endako Formation
dacite lithology in Glenannan Phs	average  Magnetic_Susceptibility for dacite in the Glenannan Phs	0.00952	0.00611	4	KT-9 KAPPAMETER MS METER	"average value and standard deviation from 4 observations in the British Columbia Geological Survey Rock Properties Database. All  gsoq:Magnetic_Susceptibility measurements are by KT-9 KAPPAMETER MS METER. Aggregation, averaging and standard deviation calculation done on sample value field using Microsoft Access database. Min susceptibilty for this sample set is 0.00039  SI magnetic susceptibility, max susceptibility is 0.01330  SI magnetic susceptibility"	Glenannan Phs
dacite lithology in Hazelton Group	average  Magnetic_Susceptibility for dacite in the Hazelton Group	0.00896	0.01348	25	KT-9 KAPPAMETER MS METER	"average value and standard deviation from 25 observations in the British Columbia Geological Survey Rock Properties Database. All  gsoq:Magnetic_Susceptibility measurements are by KT-9 KAPPAMETER MS METER. Aggregation, averaging and standard deviation calculation done on sample value field using Microsoft Access database. Min susceptibilty for this sample set is 0.00018  SI magnetic susceptibility, max susceptibility is 0.04660  SI magnetic susceptibility"	
